,Level,0.3msec Avg,0.3msec StDev,P1 Latency,P1 Amplitude,N1 Latency,N1 Amplitude,P2 Latency,P2 Amplitude,N2 Latency,N2 Amplitude,P3 Latency,P3 Amplitude,N3 Latency,N3 Amplitude,P4 Latency,P4 Amplitude,N4 Latency,N4 Amplitude,P5 Latency,P5 Amplitude,N5 Latency,N5 Amplitude,CorrCoef
0,80.0,-0.0822,0.015344,1.36,0.42,1.8,-0.37,2.2,0.42,2.72,-0.15,3.12,0.12,3.8,-0.03,4.24,0.26,4.88,-0.27,5.16,-0.1,6.2,-0.38,
1,70.0,0.038263,0.013219999999999999,1.36,0.38,1.8,-0.38,2.32,0.39,2.8,-0.09,3.16,0.13,3.72,-0.08,4.4,0.22,4.4,0.22,5.16,-0.08,6.2,-0.2,0.777
2,60.0,0.004275999999999999,0.008722,1.44,0.27,1.84,-0.34,2.4,0.36,2.88,-0.16,3.32,0.11,3.64,0.02,4.44,0.08,5.12,-0.06,5.16,-0.05,6.32,-0.1,0.821
3,50.0,0.002075,0.009113,1.56,0.22,1.96,-0.26,2.52,0.3,3.0,-0.12,3.32,0.07,3.6,-0.04,4.44,0.12,5.04,-0.1,5.24,-0.02,6.36,-0.08,0.775
4,40.0,-0.061741,0.022813999999999997,1.64,0.18,2.08,-0.16,2.64,0.23,3.12,-0.08,3.32,-0.03,3.96,-0.03,4.68,0.09,5.2,-0.04,5.48,0.02,6.48,-0.07,0.6559999999999999
5,30.0,-0.004137,0.003865,1.92,0.13,2.32,-0.07,2.72,0.03,3.04,-0.01,3.2,0.02,4.24,-0.05,4.8,0.07,5.28,-0.01,5.52,0.04,6.32,-0.1,0.187
6,20.0,0.017046000000000002,0.011761,-3.24,0.03,-3.24,0.03,-3.24,0.03,-3.24,0.03,-3.24,0.03,-4.24,0.05,-4.96,-0.0,-5.2,-0.03,-5.68,0.02,-6.52,-0.05,-0.124
