,Level,0.3msec Avg,0.3msec StDev,P1 Latency,P1 Amplitude,N1 Latency,N1 Amplitude,P2 Latency,P2 Amplitude,N2 Latency,N2 Amplitude,P3 Latency,P3 Amplitude,N3 Latency,N3 Amplitude,P4 Latency,P4 Amplitude,N4 Latency,N4 Amplitude,P5 Latency,P5 Amplitude,N5 Latency,N5 Amplitude,CorrCoef
0,80.0,-0.009366,0.010128,1.28,0.43,1.72,-0.28,2.08,0.23,2.8,-0.18,3.36,0.17,3.64,0.07,4.08,0.3,4.6,-0.28,5.36,0.05,5.88,-0.41,
1,70.0,0.012469,0.011717,1.36,0.22,1.8,-0.19,2.2,0.2,2.92,-0.13,3.36,0.05,3.36,0.05,4.04,0.19,4.64,-0.16,5.56,0.0,5.96,-0.15,0.778
2,60.0,-0.024059,0.023812,1.28,0.11,1.72,-0.12,2.2,0.16,2.92,-0.09,3.6,0.08,3.84,0.03,4.08,0.1,4.8,-0.03,5.84,0.01,6.2,-0.05,0.5820000000000001
3,50.0,-0.017365000000000002,0.013466999999999998,1.44,0.1,1.84,-0.08,2.32,0.07,3.0,-0.04,3.68,0.01,3.84,-0.01,4.24,0.12,4.92,-0.06,6.16,0.08,6.2,0.08,0.336
4,40.0,0.028247,0.019037000000000002,-2.44,0.06,-2.44,0.06,-2.44,0.06,-3.12,-0.03,-3.52,0.04,-3.64,0.01,-4.52,0.07,-4.84,-0.0,-6.08,0.01,-6.44,-0.06,0.319
5,30.0,0.033884,0.019587,-2.2,0.01,-2.2,0.01,-2.2,0.01,-2.96,-0.02,-3.44,0.02,-3.64,-0.01,-4.8,0.02,-5.04,-0.01,-5.84,0.01,-6.56,0.01,0.172
6,20.0,0.000523,0.013985,-2.12,0.1,-2.12,0.1,-2.12,0.1,-2.84,-0.03,-3.48,0.05,-3.56,0.02,-5.2,0.02,-5.32,-0.04,-5.84,-0.0,-6.56,0.05,-0.11
