,Level,0.3msec Avg,0.3msec StDev,P1 Latency,P1 Amplitude,N1 Latency,N1 Amplitude,P2 Latency,P2 Amplitude,N2 Latency,N2 Amplitude,P3 Latency,P3 Amplitude,N3 Latency,N3 Amplitude,P4 Latency,P4 Amplitude,N4 Latency,N4 Amplitude,P5 Latency,P5 Amplitude,N5 Latency,N5 Amplitude,CorrCoef
0,80.0,-0.038544,0.027575,1.72,0.07,2.32,-0.1,2.8,0.04,2.8,0.04,2.8,0.04,3.08,-0.04,3.72,0.06,3.96,0.01,4.36,0.14,5.56,-0.17,
1,70.0,-0.082089,0.029907,-1.88,0.04,-1.88,0.04,-1.88,0.04,-2.8,-0.04,-3.16,0.06,-3.68,-0.07,-4.12,0.06,-4.12,0.06,-4.12,0.06,-5.8,-0.04,0.044000000000000004
2,60.0,-0.0029579999999999997,0.004845,-2.12,0.05,-2.12,0.05,-2.12,0.05,-2.6,-0.05,-3.04,0.03,-4.0,-0.04,-4.36,0.04,-4.36,0.04,-4.36,0.04,-6.04,-0.08,-0.105
3,50.0,0.028997000000000002,0.014628,-1.92,0.09,-1.92,0.09,-1.92,0.09,-2.72,0.01,-3.04,0.05,-4.2,0.02,-4.4,0.08,-4.4,0.08,-4.4,0.08,-6.2,-0.05,0.12
4,40.0,-0.029816000000000002,0.004365,-2.16,0.01,-2.16,0.01,-2.16,0.01,-2.76,-0.01,-3.08,0.09,-3.96,-0.03,-4.44,0.1,-4.44,0.1,-4.44,0.1,-6.44,-0.02,0.294
5,30.0,-0.01231,0.018438,-2.2,0.05,-2.2,0.05,-2.2,0.05,-2.64,-0.08,-3.4,0.03,-4.12,-0.04,-4.36,0.01,-4.36,0.01,-4.36,0.01,-6.4,-0.07,-0.266
6,20.0,-0.051865999999999995,0.022887,-2.24,0.03,-2.24,0.03,-2.24,0.03,-2.72,0.0,-3.8,0.04,-4.0,0.0,-4.52,0.04,-4.52,0.04,-4.52,0.04,-6.52,-0.05,0.299
